Province,University,Programme,International tuition,Domestic tuition,Minimum average,Length of Programme,Programme Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Manitoba,University of Manitoba,Finance,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Fine Arts,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Food Science,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,French,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Genetics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Geography,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Geological Sciences,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Geology,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Geophysics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,German,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Global Political Economy,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Graphic Design,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Greek,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Health Sciences,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Health Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,History,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Human Nutritional Sciences,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Human Resource Management / Industrial Relations,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Icelandic,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Environmental Design,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,International Business,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Italian,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Jazz Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Judaic Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Kinesiology,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Labour Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Latin,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Latin American Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Leadership and Organizations,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Linguistics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Logistics and Supply Chain Management,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Management,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Management Information Systems,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Marketing,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Mathematics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Mechanical Engineering,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Medieval & Renaissance Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Microbiology,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Music,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Music Composition,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Music History,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Music Performance,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Native Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Nursing,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Ukrainian Canadian Heritage Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Ojibway,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Operations Management/Research,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Painting,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Philosophy,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Photography,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Physical Geography,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Ukrainian,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Physics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Plant Biotechnology,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Polish,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Political Studies,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Theatre,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Textile Sciences,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Statistics,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Print Media,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Psychology - Arts,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Psychology - Science,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Recreation Management and Community Development,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Religion,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Respiratory Therapy,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Russian,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Science,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Sculpture,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Social Work,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Sociology,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Soil Science,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Manitoba,Spanish,14800,4400,70,4 years,English,Minimum of 550 (paper based) or 86 (internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.umanitoba.ca
Manitoba,University of Winnipeg,Aboriginal Governance (See Indigenous Studies),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Anthropology,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Applied Computer Science,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Bioanthropology,15361,3969,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Biochemistry,15361,3969,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Biology,15361,3969,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Biopsychology,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Business & Administration,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Chemistry,15361,3969,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Classics (Greek and Roman Studies),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Computer Science - see Applied Computer Science,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Conflict Resolution Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Criminal Justice,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Dance Program,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Developmental Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Disability Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,East Asian Languages & Cultures,12852,3449,65,3-4 years,"English, Asian Languages",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Economics,15361,345,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Economics and Finance,15361,345,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Engineering (Dual degree program with University of Minnesota),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,English,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Environmental Studies and Sciences,15361,345,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,French Studies,12852,3449,65,3-4 years,"English, French ",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Geography,15361,345,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,German-Canadian Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,German Studies,12852,3449,65,3-4 years,"English, German",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,History,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,History of Art,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Human Rights,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Indigenous Studies (formerly Aboriginal Governance),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Interdisciplinary Linguistics,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,International Development Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Italian Studies,12852,3449,65,3-4 years,"English, Italian",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Kinesiology & Applied Health,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Linguistics (See Interdisciplinary Linguistics),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Mathematics & Statistics,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Mennonite Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Modern Languages and Literatures,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Philosophy,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Physics,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Political Science,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Portuguese Studies,12852,3449,65,3-4 years,"English, Portuguese",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Psychiatric Nursing  (Collaborative program with Brandon University),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Psychology,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Religion & Culture (formerly Religious Studies),12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Rhetoric and Communications,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Sociology,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Spanish Studies,12852,3449,65,3-4 years,"English, Spanish",550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Statistics - see Mathematics & Statistics,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Theatre & Film,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Theatre & Film - Dance Program Stream - See Dance Program,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
Manitoba,University of Winnipeg,Urban and Inner-City Studies,12852,3449,65,3-4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 9' 12.12" W,49° 53' 24.44" N,www.uwinnipeg.ca
